              1        -0.9932        -0.9932              0
              2       -0.96808       -0.98064     0.00888126
              3       -0.97328      -0.978187     0.00625051
              4        -0.9564       -0.97274     0.00665026
              5       -0.95008      -0.968208     0.00668848
              6       -0.95816      -0.966533     0.00577959
              7       -0.96872      -0.966846     0.00496237
              8       -0.98664       -0.96932     0.00492041
              9       -0.92024      -0.963867     0.00675009
             10       -0.97824      -0.965304     0.00622623
             11       -0.98848      -0.967411     0.00600612
             12         -0.982      -0.968627     0.00562731
             13       -0.99208      -0.970431     0.00547601
             14        -0.9928      -0.972029     0.00531286
             15       -0.96704      -0.971696     0.00496907
             16         -0.986       -0.97259     0.00473824
             17       -0.97784      -0.972899     0.00446957
             18       -0.96736      -0.972591     0.00423184
             19       -0.96952      -0.972429      0.0040122
             20       -0.98832      -0.973224     0.00388946
             21       -0.97416      -0.973269      0.0037045
             22       -0.98648      -0.973869     0.00358446
             23       -0.97096      -0.973743     0.00343085
             24       -0.98808       -0.97434      0.0033395
             25       -0.95144      -0.973424     0.00332918
             26         -0.984      -0.973831     0.00322588
             27         -0.998      -0.974726     0.00322822
             28       -0.99016      -0.975277     0.00315963
             29        -0.9632      -0.974861       0.003078
             30       -0.95904      -0.974333     0.00302024
             31        -0.9788      -0.974477     0.00292625
             32       -0.96832      -0.974285     0.00284112
             33        -0.9676      -0.974082     0.00276224
             34       -0.98104      -0.974287     0.00268857
             35       -0.95176      -0.973643     0.00268769
             36       -0.96336      -0.973358     0.00262817
             37          -0.96      -0.972997     0.00258181
             38       -0.98504      -0.973314     0.00253325
             39       -0.97576      -0.973376     0.00246907
             40        -0.9864      -0.973702     0.00242871
             41       -0.96808      -0.973565     0.00237335
             42       -0.96792       -0.97343     0.00232064
             43         -0.958      -0.973072     0.00229425
             44       -0.99128      -0.973485     0.00227912
             45       -0.99528       -0.97397     0.00227936
             46       -0.97392      -0.973969      0.0022298
             47       -0.97624      -0.974017     0.00218289
             48       -0.94832      -0.973482     0.00220208
             49       -0.94408      -0.972882      0.0022374
             50       -0.97312      -0.972886     0.00219265
             51       -0.98112      -0.973048     0.00215559
             52       -0.96728      -0.972937     0.00211699
             53       -0.94568      -0.972423      0.0021386
             54       -0.94536      -0.971921     0.00215692
             55       -0.98664      -0.972189     0.00213424
             56       -0.97392       -0.97222     0.00209635
             57        -0.9744      -0.972258     0.00205993
             58       -0.96224      -0.972086     0.00203164
             59       -0.97944       -0.97221     0.00200102
             60       -0.97192      -0.972205     0.00196768
             61       -0.95248      -0.971882     0.00196181
             62       -0.97448      -0.971924     0.00193062
             63        -0.9292      -0.971246     0.00201556
             64       -0.96032      -0.971075     0.00199129
             65        -0.9652      -0.970985      0.0019627
             66         -0.978      -0.971091     0.00193584
             67       -0.96568       -0.97101     0.00190863
             68       -0.98112      -0.971159     0.00188634
             69       -0.98984       -0.97143     0.00187834
             70       -0.96928      -0.971399     0.00185175
             71       -0.97152      -0.971401     0.00182567
             72        -0.9696      -0.971376     0.00180049
             73       -0.96256      -0.971255     0.00177987
             74         -0.986      -0.971454     0.00176693
             75        -0.9616      -0.971323     0.00174825
             76       -0.98816      -0.971544     0.00173923
             77       -0.97632      -0.971606     0.00171775
             78        -0.9632      -0.971498      0.0016991
             79       -0.97976      -0.971603     0.00168081
             80       -0.99232      -0.971862     0.00167963
             81       -0.99264      -0.972119     0.00167837
             82       -0.98336      -0.972256     0.00166349
             83       -0.96504      -0.972169     0.00164572
             84       -0.96784      -0.972117     0.00162693
             85        -0.9596       -0.97197     0.00161444
             86        -0.9856      -0.972128     0.00160343
             87       -0.97104      -0.972116     0.00158505
             88       -0.98336      -0.972244     0.00157218
             89       -0.98616        -0.9724     0.00156227
             90       -0.98864       -0.97258      0.0015553
             91       -0.98096      -0.972673     0.00154093
             92       -0.98392      -0.972795     0.00152902
             93       -0.93736      -0.972414     0.00155933
             94        -0.9788      -0.972482     0.00154422
             95       -0.98368        -0.9726     0.00153246
             96         -0.986      -0.972739     0.00152284
             97        -0.9424      -0.972426     0.00153893
             98       -0.99208      -0.972627     0.00153624
             99         -0.966       -0.97256     0.00152218
            100       -0.96776      -0.972512     0.00150771
