0	31.0427697
1	32.852036
2	30.8459509
3	34.7400772
4	31.1380706
5	31.5406218
6	31.7928621
7	30.8590096
8	35.7817143
9	33.6442816
10	35.0142672
11	32.1549097
12	31.0167838
13	31.1363993
14	38.0580187
15	34.3125531
16	34.0336668
17	31.8180041
18	30.2587666
19	25.5829574
20	28.5036086
21	26.0984729
22	29.4092369
23	28.1772906
24	27.9641361
25	27.7589239
26	20.3857489
27	25.7985606
28	24.8029169
29	20.2273775
30	22.0234451
31	22.554279
32	23.7219283
33	18.2267868
34	20.295356
35	15.2076313
36	16.5435423
37	15.3404326
38	15.148472
39	15.300463
40	13.5447674
41	13.8791098
42	13.6042707
43	12.7772114
44	11.4618854
45	10.8848159
46	10.8185181
47	10.0275169
48	9.95931362
49	10.4045782
50	9.97602455
51	10.2232909
52	9.8881044
53	9.98609633
54	9.63356725
55	9.39465223
56	9.49087161
57	9.55469364
58	9.35014807
59	9.38267653
60	9.29973445
61	9.27331399
62	9.29795247
63	9.29795247
64	9.28297185
65	9.32351507
66	9.29973445
67	9.29943771
68	9.32838169
69	9.28297185
70	9.29943771
71	9.28977984
72	9.27331399
73	9.27331399
74	9.27331399
75	9.27331399
76	9.28297185
77	9.27331399
78	9.28297185
79	9.27331399
80	9.27331399
81	9.28297185
82	9.27331399
83	9.27331399
84	9.27331399
85	9.27331399
86	9.27331399
87	9.27331399
88	9.27331399
89	9.27331399
90	9.27331399
91	9.27331399
92	9.27331399
93	9.27331399
94	9.27331399
95	9.27331399
96	9.27331399
97	9.27331399
98	9.27331399
99	9.27331399
